mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
β[1, 1]	β	0.0	0.004106225553705562	0.0	0.0	0.0	0.0	0.0
β[2, 1]	β	0.0	-0.037441145270000406	0.0	0.0	0.0	0.0	0.0
β[3, 1]	β	0.0	0.004063308130168991	0.0	0.0	0.0	0.0	0.0
β[4, 1]	β	0.0	0.0011382272764023293	0.0	0.0	0.0	0.0	0.0
β[5, 1]	β	0.0	-0.005744648574551725	0.0	0.0	0.0	0.0	0.0
β[6, 1]	β	0.0	-0.00018651247648074554	0.0	0.0	0.0	0.0	0.0
β[7, 1]	β	0.0	-0.010063605992348531	0.0	0.0	0.0	0.0	0.0
β[8, 1]	β	0.0	-0.007218509633175697	0.0	0.0	0.0	0.0	0.0
β[9, 1]	β	0.0	-0.009038700210543833	0.0	0.0	0.0	0.0	0.0
β[10, 1]	β	0.0	-0.015929513285459298	0.0	0.0	0.0	0.0	0.0
β[11, 1]	β	0.0	-0.014927938610488793	0.0	0.0	0.0	0.0	0.0
β[12, 1]	β	0.0	0.0015094901711767796	0.0	0.0	0.0	0.0	0.0
β[13, 1]	β	0.0	0.00433089060401428	0.0	0.0	0.0	0.0	0.0
β[14, 1]	β	0.0	-0.003017275240568938	0.0	0.0	0.0	0.0	0.0
β[15, 1]	β	0.0	-0.005889200081854169	0.0	0.0	0.0	0.0	0.0
β[16, 1]	β	0.0	-0.0017989139294657312	0.0	0.0	0.0	0.0	0.0
β[17, 1]	β	0.0	-0.0008600995611920564	0.0	0.0	0.0	0.0	0.0
β[18, 1]	β	0.0	0.00246170089157731	0.0	0.0	0.0	0.0	0.0
β[19, 1]	β	0.0	0.002561521599592215	0.0	0.0	0.0	0.0	0.0
β[20, 1]	β	0.0	-0.006103066988076401	0.0	0.0	0.0	0.0	0.0
β[21, 1]	β	0.0	-0.0068592730210011894	0.0	0.0	0.0	0.0	0.0
β[22, 1]	β	0.0	-0.0007572119659533077	0.0	0.0	0.0	0.0	0.0
β[23, 1]	β	0.0	-0.0009397440484177846	0.0	0.0	0.0	0.0	0.0
β[24, 1]	β	0.0	0.0029148446672705645	0.0	0.0	0.0	0.0	0.0
β[25, 1]	β	0.0	0.0017409446953333962	0.0	0.0	0.0	0.0	0.0
β[26, 1]	β	0.0	-0.0025828770781509145	0.0	0.0	0.0	0.0	0.0
β[27, 1]	β	0.0	-0.005057077834868838	0.0	0.0	0.0	0.0	0.0
β[28, 1]	β	0.0	0.0040359220086103875	0.0	0.0	0.0	0.0	0.0
β[29, 1]	β	0.0	-0.0020671892554261005	0.0	0.0	0.0	0.0	0.0
β[30, 1]	β	0.0	0.024536111355429952	0.0	0.0	0.0	0.0	0.0
β[31, 1]	β	0.0	0.0350083800243238	0.0	0.0	0.0	0.0	0.0
β[32, 1]	β	0.0	0.02543916229968056	0.0	0.0	0.0	0.0	0.0
β[33, 1]	β	0.0	0.01832156185463151	0.0	0.0	0.0	0.0	0.0
β[34, 1]	β	0.0	0.012136209900699262	0.0	0.0	0.0	0.0	0.0
β[35, 1]	β	0.0	0.03785676116921541	0.0	0.0	0.0	0.0	0.08221379864418203
β[36, 1]	β	0.0	0.024785514903779334	0.0	0.0	0.0	0.0	0.0
β[37, 1]	β	0.0	0.00858642760279051	0.0	0.0	0.0	0.0	0.0
β[38, 1]	β	0.0	-0.0029094546745358674	0.0	0.0	0.0	0.0	0.0
β[39, 1]	β	0.0	0.005369400730258623	0.0	0.0	0.0	0.0	0.0
β[40, 1]	β	0.0	0.0050399059094193175	0.0	0.0	0.0	0.0	0.0
β[41, 1]	β	0.0	0.014301392233931317	0.0	0.0	0.0	0.0	0.0
β[42, 1]	β	0.0	0.00389535641037755	0.0	0.0	0.0	0.0	0.0
β[43, 1]	β	0.0	0.008936517985931145	0.0	0.0	0.0	0.0	0.0
β[44, 1]	β	0.0	0.2694760966530116	0.0	0.0	0.0	0.0	1.9991151280813295
β[45, 1]	β	0.0	0.018132784272123344	0.0	0.0	0.0	0.0	0.0
β[46, 1]	β	0.0	0.0016115915172885764	0.0	0.0	0.0	0.0	0.0
β[47, 1]	β	0.0	0.009583945452129478	0.0	0.0	0.0	0.0	0.0
β[48, 1]	β	0.0	0.05935318862330981	0.0	0.0	0.0	0.0	1.1195335930582424
β[49, 1]	β	0.0	0.005646504464043481	0.0	0.0	0.0	0.0	0.0
β[50, 1]	β	0.0	0.010563930089837695	0.0	0.0	0.0	0.0	0.0
β[51, 1]	β	0.0	-0.003811552390916036	0.0	0.0	0.0	0.0	0.0
β[52, 1]	β	0.0	0.0067559352751521305	0.0	0.0	0.0	0.0	0.0
β[53, 1]	β	0.0	0.006578862856528633	0.0	0.0	0.0	0.0	0.0
β[54, 1]	β	0.0	0.017509879797463095	0.0	0.0	0.0	0.0	0.0
β[55, 1]	β	0.0	0.014274883096572776	0.0	0.0	0.0	0.0	0.0
β[56, 1]	β	0.0	0.011150262560297353	0.0	0.0	0.0	0.0	0.0
β[57, 1]	β	0.0	0.036280020876243387	0.0	0.0	0.0	0.0	0.0
β[58, 1]	β	0.0	0.005283697283245866	0.0	0.0	0.0	0.0	0.0
β[59, 1]	β	0.0	0.37550575855330054	0.0	0.0	0.0	0.0	3.2369807496131324
β[60, 1]	β	0.0	0.012212856808451873	0.0	0.0	0.0	0.0	0.0
β[61, 1]	β	0.0	-0.0010619796051990372	0.0	0.0	0.0	0.0	0.0
β[62, 1]	β	0.0	-0.0035344778337567744	0.0	0.0	0.0	0.0	0.0
β[63, 1]	β	0.0	0.009463520022102325	0.0	0.0	0.0	0.0	0.0
β[64, 1]	β	0.0	0.004395022279649555	0.0	0.0	0.0	0.0	0.0
β[65, 1]	β	0.0	-0.0008752369624580675	0.0	0.0	0.0	0.0	0.0
β[66, 1]	β	0.0	-0.0029877882063744695	0.0	0.0	0.0	0.0	0.0
β[67, 1]	β	0.0	-0.00173803913166207	0.0	0.0	0.0	0.0	0.0
β[68, 1]	β	0.0	-0.007231653300831757	0.0	0.0	0.0	0.0	0.0
β[69, 1]	β	0.0	-0.004050766940449186	0.0	0.0	0.0	0.0	0.0
β[70, 1]	β	0.0	0.00021599174036655144	0.0	0.0	0.0	0.0	0.0
β[71, 1]	β	0.0	-0.00042141305835091306	0.0	0.0	0.0	0.0	0.0
β[72, 1]	β	0.0	-0.00028966220762427296	0.0	0.0	0.0	0.0	0.0
β[73, 1]	β	0.0	0.0	0.0	0.0	0.0	0.0	0.0
β[74, 1]	β	0.0	0.002281657724629234	0.0	0.0	0.0	0.0	0.0
β[75, 1]	β	0.0	-0.009881532554235638	0.0	0.0	0.0	0.0	0.0
β[76, 1]	β	0.0	-0.040928141241163674	0.0	0.0	0.0	0.0	0.0
β[77, 1]	β	0.0	-0.002797648404149572	0.0	0.0	0.0	0.0	0.0
β[78, 1]	β	0.0	0.0010552554205661116	0.0	0.0	0.0	0.0	0.0
β[79, 1]	β	0.0	-0.0010927450219190386	0.0	0.0	0.0	0.0	0.0
β[80, 1]	β	0.0	0.004593557869402033	0.0	0.0	0.0	0.0	0.0
β[81, 1]	β	0.0	-0.0302303798499415	0.0	0.0	0.0	0.0	0.0
β[82, 1]	β	0.0	-0.006201292280768973	0.0	0.0	0.0	0.0	0.0
β[83, 1]	β	0.0	-0.008370962455342057	0.0	0.0	0.0	0.0	0.0
β[84, 1]	β	0.0	-0.00288740396188008	0.0	0.0	0.0	0.0	0.0
β[85, 1]	β	0.0	0.008417638753821463	0.0	0.0	0.0	0.0	0.0
β[86, 1]	β	0.0	-0.011411201326106126	0.0	0.0	0.0	0.0	0.0
β[87, 1]	β	0.0	0.0017573026985421097	0.0	0.0	0.0	0.0	0.0
β[88, 1]	β	0.0	0.0007581665220002114	0.0	0.0	0.0	0.0	0.0
β[89, 1]	β	0.0	-0.09365821504710746	-1.5929595819468563	0.0	0.0	0.0	0.0
β[90, 1]	β	0.0	-0.2060736593069538	-4.194144792578381	0.0	0.0	0.0	0.0
β[91, 1]	β	0.0	-0.010819935837538562	0.0	0.0	0.0	0.0	0.0
β[92, 1]	β	0.0	-0.09472128735282567	-0.8211191940472339	0.0	0.0	0.0	0.0
β[93, 1]	β	0.0	0.0020043565376306957	0.0	0.0	0.0	0.0	0.0
β[94, 1]	β	0.0	-0.0016393476054620017	0.0	0.0	0.0	0.0	0.0
β[95, 1]	β	0.0	-0.00015132034666994	0.0	0.0	0.0	0.0	0.0
β[96, 1]	β	0.0	-0.002904463191483485	0.0	0.0	0.0	0.0	0.0
β[97, 1]	β	0.0	0.0008176983684621045	0.0	0.0	0.0	0.0	0.0
β[98, 1]	β	0.0	0.006293316932941237	0.0	0.0	0.0	0.0	0.0
β[99, 1]	β	0.0	0.0009959491273199056	0.0	0.0	0.0	0.0	0.0
β[100, 1]	β	0.0	-0.01820549549079322	0.0	0.0	0.0	0.0	0.0
